"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"59,494 ",316 ,55 ,50 ,48 ,157 ,279 ,316 ,404 ,515 ,769 ,"1,128 ","1,794 ","2,535 ","3,821 ","5,840 ","8,054 ","9,332 ","9,623 ","8,262 ","6,196 ",SCOTLAND,"28,305 ",186 ,32 ,22 ,27 ,114 ,208 ,238 ,283 ,319 ,469 ,701 ,"1,093 ","1,571 ","2,305 ","3,416 ","4,493 ","4,672 ","4,119 ","2,737 ","1,300 ",SCOTLAND,"31,189 ",130 ,23 ,28 ,21 ,43 ,71 ,78 ,121 ,196 ,300 ,427 ,701 ,964 ,"1,516 ","2,424 ","3,561 ","4,660 ","5,504 ","5,525 ","4,896 "
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,249 ",17 ,2 ,2 ,-,9 ,15 ,14 ,18 ,15 ,30 ,49 ,66 ,72 ,126 ,210 ,292 ,336 ,363 ,328 ,285 ,Aberdeen City   ,"1,044",10,1,1,-,9,12,13,12,10,14,27,40,45,75,130,178,168,152,102,45,Aberdeen City   ,"1,205",7,1,1,-,-,3,1,6,5,16,22,26,27,51,80,114,168,211,226,240
Aberdeenshire  ,"2,045 ",9 ,3 ,2 ,3 ,11 ,11 ,14 ,16 ,13 ,21 ,43 ,58 ,74 ,111 ,185 ,243 ,296 ,362 ,301 ,269 ,Aberdeenshire  ,993,7,1,1,-,7,11,8,7,6,16,27,36,47,66,111,134,161,158,116,73,Aberdeenshire  ,"1,052",2,2,1,3,4,-,6,9,7,5,16,22,27,45,74,109,135,204,185,196
Angus  ,"1,314 ",4 ,1 ,-,-,5 ,3 ,10 ,8 ,7 ,5 ,18 ,29 ,35 ,64 ,124 ,178 ,200 ,241 ,225 ,157 ,Angus  ,574,1,1,-,-,2,3,8,7,6,3,10,13,16,34,74,110,96,91,65,34,Angus  ,740,3,-,-,-,3,-,2,1,1,2,8,16,19,30,50,68,104,150,160,123
Argyll and Bute  ,"1,238 ",7 ,1 ,1 ,1 ,4 ,6 ,6 ,3 ,9 ,9 ,18 ,40 ,48 ,56 ,116 ,132 ,170 ,232 ,197 ,182 ,Argyll and Bute  ,574,3,1,1,-,4,5,5,1,7,7,10,25,32,37,73,78,80,97,71,37,Argyll and Bute  ,664,4,-,-,1,-,1,1,2,2,2,8,15,16,19,43,54,90,135,126,145
City of Edinburgh2,"5,008 ",28 ,5 ,5 ,5 ,12 ,22 ,25 ,47 ,47 ,59 ,101 ,129 ,197 ,275 ,429 ,647 ,741 ,844 ,758 ,632 ,City of Edinburgh2 ,"2,289",14,5,3,2,11,17,21,35,31,31,73,73,126,173,239,345,361,350,256,123,City of Edinburgh2,"2,719",14,-,2,3,1,5,4,12,16,28,28,56,71,102,190,302,380,494,502,509
Clackmannanshire,524 ,1 ,1 ,-,-,2 ,2 ,3 ,3 ,5 ,10 ,9 ,14 ,26 ,31 ,50 ,83 ,76 ,88 ,76 ,44 ,Clackmannanshire,269,1,1,-,-,1,1,3,2,2,6,5,7,21,16,32,54,42,34,32,9,Clackmannanshire,255,-,-,-,-,1,1,-,1,3,4,4,7,5,15,18,29,34,54,44,35
Dumfries and Galloway,"1,829 ",4 ,-,1 ,3 ,4 ,11 ,7 ,12 ,11 ,20 ,32 ,44 ,64 ,108 ,163 ,262 ,307 ,289 ,291 ,196 ,Dumfries and Galloway,883,2,-,-,2,3,9,5,9,7,12,20,30,37,65,88,150,164,139,93,48,Dumfries and Galloway,946,2,-,1,1,1,2,2,3,4,8,12,14,27,43,75,112,143,150,198,148
