"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"57,799 ",305 ,53 ,34 ,49 ,161 ,254 ,317 ,417 ,570 ,782 ,"1,045 ","1,757 ","2,450 ","3,663 ","5,286 ","7,450 ","9,459 ","8,939 ","8,202 ","6,606 ",SCOTLAND,"27,511 ",173 ,33 ,24 ,28 ,115 ,198 ,234 ,278 ,369 ,473 ,623 ,"1,093 ","1,530 ","2,259 ","3,091 ","4,133 ","4,694 ","3,829 ","2,865 ","1,469 ",SCOTLAND,"30,288 ",132 ,20 ,10 ,21 ,46 ,56 ,83 ,139 ,201 ,309 ,422 ,664 ,920 ,"1,404 ","2,195 ","3,317 ","4,765 ","5,110 ","5,337 ","5,137 ",,,,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,289 ",10 ,2 ,-,2 ,5 ,14 ,11 ,23 ,24 ,40 ,51 ,54 ,111 ,106 ,203 ,294 ,408 ,322 ,318 ,291 ,Aberdeen City   ,"1,043",4,2,-,2,3,9,5,17,17,23,30,37,82,68,104,156,192,134,103,55,Aberdeen City   ,"1,246",6,-,-,-,2,5,6,6,7,17,21,17,29,38,99,138,216,188,215,236,,,,,5136
Aberdeenshire  ,"2,073 ",7 ,6 ,1 ,5 ,5 ,9 ,10 ,15 ,22 ,27 ,37 ,64 ,77 ,112 ,165 ,229 ,310 ,326 ,361 ,285 ,Aberdeenshire  ,"1,023",3,4,1,4,4,6,7,7,16,15,21,46,54,66,107,133,147,167,136,79,Aberdeenshire  ,"1,050",4,2,-,1,1,3,3,8,6,12,16,18,23,46,58,96,163,159,225,206,,,,,
Angus  ,"1,364 ",7 ,-,1 ,-,2 ,6 ,5 ,12 ,7 ,7 ,25 ,44 ,44 ,83 ,89 ,153 ,219 ,235 ,217 ,208 ,Angus  ,605,5,-,1,-,2,5,4,11,6,4,11,23,29,43,56,83,108,100,72,42,Angus  ,759,2,-,-,-,-,1,1,1,1,3,14,21,15,40,33,70,111,135,145,166,,,,,
Argyll and Bute  ,"1,162 ",9 ,1 ,1 ,1 ,4 ,1 ,4 ,9 ,15 ,13 ,20 ,33 ,41 ,88 ,88 ,131 ,179 ,173 ,202 ,149 ,Argyll and Bute  ,521,5,1,1,-,4,-,3,5,9,9,9,19,29,57,53,73,83,64,72,25,Argyll and Bute  ,641,4,-,-,1,-,1,1,4,6,4,11,14,12,31,35,58,96,109,130,124,,,,,
City of Edinburgh2,"4,813 ",34 ,6 ,4 ,4 ,9 ,23 ,25 ,36 ,56 ,76 ,70 ,144 ,194 ,256 ,407 ,556 ,765 ,720 ,756 ,672 ,City of Edinburgh2 ,"2,195",16,5,4,4,4,18,16,26,31,50,36,91,113,158,252,292,383,294,267,135,City of Edinburgh2,"2,618",18,1,-,-,5,5,9,10,25,26,34,53,81,98,155,264,382,426,489,537,,,,,
Clackmannanshire,535 ,3 ,-,-,1 ,3 ,2 ,1 ,3 ,7 ,8 ,8 ,16 ,25 ,34 ,38 ,80 ,94 ,82 ,71 ,59 ,Clackmannanshire,251,-,-,-,-,2,2,1,1,4,6,5,13,16,13,23,42,53,36,22,12,Clackmannanshire,284,3,-,-,1,1,-,-,2,3,2,3,3,9,21,15,38,41,46,49,47,,,,,
Dumfries and Galloway,"1,776 ",6 ,1 ,-,2 ,2 ,6 ,5 ,5 ,10 ,10 ,20 ,51 ,67 ,121 ,146 ,273 ,309 ,291 ,242 ,209 ,Dumfries and Galloway,859,1,-,-,-,2,4,5,4,7,3,10,29,45,76,78,162,161,137,87,48,Dumfries and Galloway,917,5,1,-,2,-,2,-,1,3,7,10,22,22,45,68,111,148,154,155,161,,,,,
Dundee City  ,"1,830 ",8 ,-,2 ,1 ,2 ,11 ,10 ,13 ,30 ,29 ,37 ,51 ,67 ,111 ,194 ,247 ,327 ,271 ,237 ,182 ,Dundee City  ,875,5,-,2,1,-,8,9,9,23,15,22,30,38,66,115,142,147,117,85,41,Dundee City  ,955,3,-,-,-,2,3,1,4,7,14,15,21,29,45,79,105,180,154,152,141,,,,,
East Ayrshire  ,"1,445 ",8 ,1 ,-,1 ,6 ,5 ,14 ,8 ,15 ,23 ,21 ,49 ,58 ,98 ,141 ,199 ,238 ,245 ,183 ,132 ,East Ayrshire  ,664,5,1,-,1,3,4,9,4,7,10,10,22,29,55,74,103,116,112,62,37,East Ayrshire  ,781,3,-,-,-,3,1,5,4,8,13,11,27,29,43,67,96,122,133,121,95,,,,,
