"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"57,382",290,42,43,56,178,250,277,422,569,813,"1,150","1,781","2,541","3,571","4,987","7,198","9,057","9,071","8,076","7,010",SCOTLAND,"27,324",155,22,27,35,131,179,214,296,398,504,726,"1,094","1,563","2,188","2,919","4,031","4,579","3,854","2,796","1,613",SCOTLAND,"30,058",135,20,16,21,47,71,63,126,171,309,424,687,978,"1,383","2,068","3,167","4,478","5,217","5,280","5,397",,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,190",7,3,-,1,11,17,11,19,29,36,33,55,96,129,182,266,361,350,316,268,Aberdeen City   ,"1,075",7,1,-,-,8,11,8,13,21,22,24,32,59,86,100,152,190,160,110,71,Aberdeen City   ,"1,115",-,2,-,1,3,6,3,6,8,14,9,23,37,43,82,114,171,190,206,197,,,
Aberdeenshire  ,"2,064",16,1,2,-,16,11,10,22,13,23,39,66,74,103,153,244,301,341,336,293,Aberdeenshire  ,"1,019",6,-,-,-,14,10,9,16,8,19,19,37,47,55,92,145,163,174,120,85,Aberdeenshire  ,"1,045",10,1,2,-,2,1,1,6,5,4,20,29,27,48,61,99,138,167,216,208,,,
Angus  ,"1,334",3,2,1,2,3,6,4,6,10,14,16,35,49,58,111,139,209,216,215,235,Angus  ,620,2,1,1,1,2,5,3,5,8,8,10,21,30,42,64,83,102,105,71,56,Angus  ,714,1,1,-,1,1,1,1,1,2,6,6,14,19,16,47,56,107,111,144,179,,,
Argyll and Bute  ,"1,134",3,1,-,1,2,8,2,10,3,16,20,35,51,61,94,123,180,187,163,174,Argyll and Bute  ,546,2,1,-,1,1,5,1,8,2,9,15,24,28,35,60,81,94,76,57,46,Argyll and Bute  ,588,1,-,-,-,1,3,1,2,1,7,5,11,23,26,34,42,86,111,106,128,,,
City of Edinburgh2,"4,717",23,2,-,5,15,14,25,49,42,70,92,152,185,261,355,529,751,771,681,695,City of Edinburgh2 ,"2,246",9,2,-,3,11,8,19,35,27,42,52,93,110,178,218,291,406,344,258,140,City of Edinburgh2,"2,471",14,-,-,2,4,6,6,14,15,28,40,59,75,83,137,238,345,427,423,555,,,
Clackmannanshire,520,4,-,-,1,2,4,2,3,5,7,6,19,24,36,44,61,86,78,89,49,Clackmannanshire,247,3,-,-,1,-,3,2,3,3,5,3,9,14,18,21,32,46,40,33,11,Clackmannanshire,273,1,-,-,-,2,1,-,-,2,2,3,10,10,18,23,29,40,38,56,38,,,
Dumfries and Galloway,"1,777",9,2,-,1,5,8,6,10,14,21,27,34,72,104,147,239,289,305,258,226,Dumfries and Galloway,860,7,1,-,1,4,7,4,6,9,12,19,22,43,66,82,139,149,130,92,67,Dumfries and Galloway,917,2,1,-,-,1,1,2,4,5,9,8,12,29,38,65,100,140,175,166,159,,,
