"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,-,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"55,747",284,60,30,48,161,208,207,341,567,821,"1,150","1,577","2,513","3,281","4,778","6,415","8,575","9,736","7,567","7,428",SCOTLAND,"26,522",159,33,19,30,106,150,149,236,364,518,699,955,"1,512","1,966","2,767","3,585","4,397","4,294","2,783","1,800",SCOTLAND,"29,225",125,27,11,18,55,58,58,105,203,303,451,622,"1,001","1,315","2,011","2,830","4,178","5,442","4,784","5,628",,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,121",11,2,-,1,8,7,7,8,27,26,55,61,79,104,187,228,318,359,304,329,Aberdeen City   ,"1,023",4,-,-,1,6,4,5,7,15,20,38,35,55,66,111,125,183,156,112,80,Aberdeen City   ,"1,098",7,2,-,-,2,3,2,1,12,6,17,26,24,38,76,103,135,203,192,249,,,
Aberdeenshire  ,"2,048",6,1,2,4,7,14,10,8,13,31,42,61,88,117,149,222,276,338,290,369,Aberdeenshire  ,972,1,-,2,3,4,12,8,5,8,18,25,40,52,70,81,138,129,175,109,92,Aberdeenshire  ,"1,076",5,1,-,1,3,2,2,3,5,13,17,21,36,47,68,84,147,163,181,277,,,
Angus  ,"1,351",6,-,3,1,4,4,10,7,15,16,23,24,50,60,100,149,218,245,195,221,Angus  ,649,2,-,1,-,2,4,8,4,10,11,15,12,30,38,60,98,124,116,60,54,Angus  ,702,4,-,2,1,2,-,2,3,5,5,8,12,20,22,40,51,94,129,135,167,,,
Argyll and Bute  ,"1,080",2,-,3,-,4,1,2,3,10,11,24,28,44,69,83,122,160,170,183,161,Argyll and Bute  ,510,1,-,2,-,3,1,2,3,6,8,13,15,25,44,59,60,77,79,67,45,Argyll and Bute  ,570,1,-,1,-,1,-,-,-,4,3,11,13,19,25,24,62,83,91,116,116,,,
City of Edinburgh2,"4,475",20,3,1,1,12,15,23,28,44,81,111,146,179,216,307,466,654,807,643,718,City of Edinburgh2 ,"2,118",10,2,-,1,8,10,19,18,31,58,70,92,108,138,181,254,335,373,241,169,City of Edinburgh2,"2,357",10,1,1,-,4,5,4,10,13,23,41,54,71,78,126,212,319,434,402,549,,,
Clackmannanshire,543,7,1,-,-,1,2,1,5,10,10,16,17,23,37,51,65,90,82,72,53,Clackmannanshire,259,4,-,-,-,-,1,-,4,6,9,12,13,13,24,25,33,44,31,33,7,Clackmannanshire,284,3,1,-,-,1,1,1,1,4,1,4,4,10,13,26,32,46,51,39,46,,,
Dumfries and Galloway,"1,847",5,1,1,-,6,4,7,3,10,28,27,48,58,104,163,217,299,335,268,263,Dumfries and Galloway,880,3,1,1,-,5,4,6,2,5,14,15,32,35,61,98,129,161,143,96,69,Dumfries and Galloway,967,2,-,-,-,1,-,1,1,5,14,12,16,23,43,65,88,138,192,172,194,,,
