"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"55,986",272,51,24,45,177,259,250,377,568,830,"1,157","1,652","2,389","3,494","4,520","6,294","8,115","9,515","8,499","7,498",SCOTLAND,"26,895",154,25,13,31,127,207,188,273,371,537,674,1011,"1,471","2,101","2,540","3,542","4,238","4,309","3,152","1,931",SCOTLAND,"29,091",118,26,11,14,50,52,62,104,197,293,483,641,918,"1,393","1,980","2,752","3,877","5,206","5,347","5,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,180",5,1,1,1,4,9,12,17,14,27,49,67,94,130,163,252,311,396,336,291,Aberdeen City   ,"1,047",2,-,-,1,2,7,10,14,9,18,25,43,63,85,85,135,170,173,114,91,Aberdeen City   ,"1,133",3,1,1,-,2,2,2,3,5,9,24,24,31,45,78,117,141,223,222,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,195",11,4,-,1,12,8,8,18,23,25,39,47,75,145,144,208,295,386,368,378,Aberdeenshire  ,"1,033",4,3,-,-,9,4,5,12,14,20,25,28,38,91,88,120,154,167,137,114,Aberdeenshire  ,"1,162",7,1,-,1,3,4,3,6,9,5,14,19,37,54,56,88,141,219,231,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,296",6,-,3,1,3,10,7,8,10,16,11,33,36,71,82,144,182,218,205,250,Angus  ,603,6,-,2,-,2,9,6,5,6,11,4,22,17,42,50,88,100,98,78,57,Angus  ,693,-,-,1,1,1,1,1,3,4,5,7,11,19,29,32,56,82,120,127,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,135",3,3,-,3,6,8,6,7,10,4,19,25,53,69,86,122,152,197,172,190,Argyll and Bute  ,548,2,2,-,3,1,6,4,4,5,2,11,18,33,41,44,67,82,103,77,43,Argyll and Bute  ,587,1,1,-,-,5,2,2,3,5,2,8,7,20,28,42,55,70,94,95,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,293",22,6,-,2,8,16,15,22,44,85,105,121,169,270,284,420,553,753,720,678,City of Edinburgh2 ,"1,992",13,1,-,1,7,12,9,16,28,47,64,71,102,161,170,238,299,328,264,161,City of Edinburgh2,"2,301",9,5,-,1,1,4,6,6,16,38,41,50,67,109,114,182,254,425,456,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,471,-,-,-,-,1,4,5,2,6,3,12,17,21,34,35,64,73,72,68,54,Clackmannanshire,253,-,-,-,-,1,4,4,2,4,1,7,9,12,20,25,43,46,30,30,15,Clackmannanshire,218,-,-,-,-,-,-,1,-,2,2,5,8,9,14,10,21,27,42,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,866",9,1,-,-,5,6,5,9,13,23,34,38,81,101,146,204,281,359,293,258,Dumfries and Galloway,844,6,-,-,-,4,3,3,7,9,17,14,20,51,55,73,110,144,162,105,61,Dumfries and Galloway,1022,3,1,-,-,1,3,2,2,4,6,20,18,30,46,73,94,137,197,188,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
