"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"53,661",238,37,27,26,121,205,277,355,522,782,"1,105","1,541","2,116","3,314","4,227","5,792","7,440","9,035","8,761","7,740",SCOTLAND,"25,913",139,19,17,14,78,153,188,251,334,513,635,850,"1,256","1,955","2,460","3,291","3,817","4,300","3,513","2,130",SCOTLAND,"27,748",99,18,10,12,43,52,89,104,188,269,470,691,860,"1,359","1,767","2,501","3,623","4,735","5,248","5,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"1,973",8,2,1,3,4,3,15,20,15,31,39,56,85,130,138,190,278,353,307,295,Aberdeen City   ,957,3,1,-,2,2,2,13,14,11,19,21,32,64,74,88,115,147,157,115,77,Aberdeen City   ,"1,016",5,1,1,1,2,1,2,6,4,12,18,24,21,56,50,75,131,196,192,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,191",8,2,1,2,8,8,11,11,24,17,34,52,87,121,172,224,299,366,397,347,Aberdeenshire  ,"1,074",4,1,1,-,6,7,7,10,15,11,17,26,52,69,101,128,154,196,158,111,Aberdeenshire  ,"1,117",4,1,-,2,2,1,4,1,9,6,17,26,35,52,71,96,145,170,239,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,222",6,-,-,1,3,5,6,9,7,26,16,15,40,56,103,135,159,204,213,218,Angus  ,571,1,-,-,1,-,4,2,7,2,19,11,8,21,33,55,79,82,96,82,68,Angus  ,651,5,-,-,-,3,1,4,2,5,7,5,7,19,23,48,56,77,108,131,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,047",-,2,1,-,-,6,3,5,6,9,14,30,40,69,86,109,128,179,188,172,Argyll and Bute  ,521,-,-,-,-,-,4,2,4,3,7,8,12,23,42,45,68,67,99,78,59,Argyll and Bute  ,526,-,2,1,-,-,2,1,1,3,2,6,18,17,27,41,41,61,80,110,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,232",22,-,2,1,7,18,19,35,46,63,74,115,171,246,294,392,542,713,742,730,City of Edinburgh2 ,"2,013",17,-,2,-,4,14,11,23,30,45,40,70,100,158,161,215,275,345,302,201,City of Edinburgh2,"2,219",5,-,-,1,3,4,8,12,16,18,34,45,71,88,133,177,267,368,440,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,477,1,-,-,1,-,-,5,3,5,12,10,16,16,34,44,51,73,94,61,51,Clackmannanshire,238,-,-,-,-,-,-,2,3,4,7,3,10,8,16,28,27,40,45,31,14,Clackmannanshire,239,1,-,-,1,-,-,3,-,1,5,7,6,8,18,16,24,33,49,30,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,707",3,3,-,1,3,9,7,7,9,16,28,44,49,113,123,172,245,311,311,253,Dumfries and Galloway,800,3,2,-,-,2,8,5,4,7,9,14,27,28,60,61,91,124,148,132,75,Dumfries and Galloway,907,-,1,-,1,1,1,2,3,2,7,14,17,21,53,62,81,121,163,179,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
