"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"58,108",165,33,16,27,97,193,263,372,577,829,"1,151","1,647","2,291","3,233","4,369","6,238","7,605","9,570","9,699","9,733",SCOTLAND,"28,489",104,15,8,13,65,139,180,255,368,527,717,993,"1,290","1,862","2,493","3,510","4,013","4,684","4,188","3,065",SCOTLAND,"29,619",61,18,8,14,32,54,83,117,209,302,434,654,"1,001","1,371","1,876","2,728","3,592","4,886","5,511","6,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,161",4,2,2,1,3,6,8,17,15,31,36,55,88,152,158,220,247,373,364,379,Aberdeen City   ,"1,094",2,2,1,1,3,2,6,10,8,20,26,31,59,99,92,129,134,185,167,117,Aberdeen City   ,"1,067",2,-,1,-,-,4,2,7,7,11,10,24,29,53,66,91,113,188,197,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,534",8,2,2,-,1,7,13,18,20,26,50,55,89,138,171,259,326,391,443,515,Aberdeenshire  ,"1,221",2,-,2,-,1,3,8,14,11,15,26,30,47,74,99,148,183,193,188,177,Aberdeenshire  ,"1,313",6,2,-,-,-,4,5,4,9,11,24,25,42,64,72,111,143,198,255,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,410",2,-,-,-,1,3,7,7,7,21,22,31,34,64,103,149,164,247,252,296,Angus  ,713,1,-,-,-,1,2,3,4,4,12,15,18,18,39,74,101,94,118,112,97,Angus  ,697,1,-,-,-,-,1,4,3,3,9,7,13,16,25,29,48,70,129,140,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,094",1,1,-,-,1,1,4,5,8,13,19,29,38,56,75,130,141,180,201,191,Argyll and Bute  ,539,1,-,-,-,-,1,4,5,6,6,11,14,20,34,46,78,85,88,87,53,Argyll and Bute  ,555,-,1,-,-,1,-,-,-,2,7,8,15,18,22,29,52,56,92,114,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,266",17,3,2,1,10,17,18,30,48,51,92,132,158,216,264,398,508,666,740,895,City of Edinburgh2 ,"2,078",10,3,1,-,7,11,11,19,30,34,53,78,96,122,159,225,278,348,321,272,City of Edinburgh2,"2,188",7,-,1,1,3,6,7,11,18,17,39,54,62,94,105,173,230,318,419,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,607,1,-,-,1,-,1,3,3,9,5,21,22,25,36,39,88,77,102,82,92,Clackmannanshire,325,-,-,-,1,-,1,3,2,5,3,17,9,13,24,25,50,41,55,47,29,Clackmannanshire,282,1,-,-,-,-,-,-,1,4,2,4,13,12,12,14,38,36,47,35,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,932",6,-,-,-,2,4,3,15,17,22,28,35,73,86,157,172,261,338,365,348,Dumfries and Galloway,928,4,-,-,-,1,2,2,11,11,16,18,25,31,45,80,94,141,175,154,118,Dumfries and Galloway,"1,004",2,-,-,-,1,2,1,4,6,6,10,10,42,41,77,78,120,163,211,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
