"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"East Midlands","Female",20,"under_20",2019,78,"US",55.3178205128205,39.8973076923077,54.9984590113501,39.3823784333476,0.812273641342534
"East Midlands","Female",24,"20-24",2019,82,"US",54.9253658536586,39.2082926829268,53.8245894453566,41.2725714419905,0.813479273282313
"East Midlands","Female",29,"25-29",2019,87,"US",53.5463218390805,45.1942528735632,53.1484016328802,44.6300870808065,0.836416945180777
"East Midlands","Female",34,"30-34",2019,96,"US",52.5813541666667,44.2934375,51.8701578206211,44.3174902791219,0.815415618371883
"East Midlands","Female",39,"35-39",2019,74,"US",53.3172972972973,45.1181081081081,53.904378102169,43.7850742330804,0.839549132509927
"East Midlands","Female",44,"40-44",2019,91,"US",50.8074725274725,46.6569230769231,50.7111008328033,47.6629818566202,0.830962986080433
"East Midlands","Female",49,"45-49",2019,121,"US",51.8874380165289,45.7240495867769,52.4058132576475,45.8632258526759,0.837341006898384
"East Midlands","Female",54,"50-54",2019,114,"US",49.8212280701754,47.4942105263158,48.8295852987448,47.0311286916011,0.801763744780292
"East Midlands","Female",59,"55-59",2019,116,"US",48.4005172413793,48.3411206896552,48.9439902550471,48.489851194347,0.816361069225796
"East Midlands","Female",64,"60-64",2019,101,"US",47.3915841584158,48.180198019802,47.7275364438412,47.6411784374809,0.794202927714075
"East Midlands","Female",69,"65-69",2019,92,"US",44.7380434782609,52.7034782608696,45.0542393500397,52.7335299349816,0.80845646802399
"East Midlands","Female",74,"70-74",2019,86,"US",44.1956976744186,51.371511627907,45.2576836775792,51.9778596188206,0.80442379678795
"East Midlands","Female",79,"75-79",2019,49,"US",40.0197959183674,51.3287755102041,39.6836625398874,51.7313104633923,0.741223062995171
"East Midlands","Female",84,"80-84",2019,34,"US",38.3114705882353,50.6008823529412,38.4658413630197,50.2267768856658,0.712878311965152
"East Midlands","Female",85,"85_plus",2019,27,"US",39.4933333333333,53.527037037037,39.3018428053328,53.5154492752093,0.752736804232736
"East Midlands","Male",20,"under_20",2019,42,"US",55.2952380952381,48.5642857142857,55.1218250357287,46.3122880188327,0.881146662473217
"East Midlands","Male",24,"20-24",2019,64,"US",54.83734375,47.94296875,54.9313170938354,47.0734565536054,0.884744117577966
"East Midlands","Male",29,"25-29",2019,59,"US",53.5433898305085,47.0572881355932,53.2143487230336,47.3752163444063,0.862088517233073
