"year","ctr_code","RGN21NM","geography_code","geography_name","sex_name","age_code","LE","QALE"
2019,"E","East Midlands","E06000015","Derby","Female",0,81.8257566933557,66.0469962164886
2019,"E","East Midlands","E06000016","Leicester","Female",0,81.7428514595597,66.008820876164
2019,"E","East Midlands","E06000017","Rutland","Female",0,86.1552558547527,69.3702429874997
2019,"E","East Midlands","E06000018","Nottingham","Female",0,81.1910146507219,65.5654818278744
2019,"E","East Midlands","E06000061","North Northamptonshire","Female",0,82.7044553964445,66.7212200514828
2019,"E","East Midlands","E06000062","West Northamptonshire","Female",0,83.0918495569737,67.0090418712814
2019,"E","East Midlands","E07000032","Amber Valley","Female",0,83.6266732676824,67.4421153741388
2019,"E","East Midlands","E07000033","Bolsover","Female",0,82.7540482991675,66.7974188038968
2019,"E","East Midlands","E07000034","Chesterfield","Female",0,82.1086198166263,66.2821636537021
2019,"E","East Midlands","E07000035","Derbyshire Dales","Female",0,85.7368190994389,69.0523554614085
2019,"E","East Midlands","E07000036","Erewash","Female",0,82.8926664532428,66.8576868861201
2019,"E","East Midlands","E07000037","High Peak","Female",0,83.411382543793,67.2912317718375
2019,"E","East Midlands","E07000038","North East Derbyshire","Female",0,83.4010477512323,67.2803341829775
2019,"E","East Midlands","E07000039","South Derbyshire","Female",0,83.6323925589295,67.4233709417347
2019,"E","East Midlands","E07000129","Blaby","Female",0,85.7004661049593,69.0328415189387
2019,"E","East Midlands","E07000130","Charnwood","Female",0,84.1565110801325,67.8261670321976
2019,"E","East Midlands","E07000131","Harborough","Female",0,85.3302348649894,68.7411999934197
2019,"E","East Midlands","E07000132","Hinckley and Bosworth","Female",0,83.8671974611396,67.6068801570581
2019,"E","East Midlands","E07000133","Melton","Female",0,85.0158934781805,68.5012704899663
2019,"E","East Midlands","E07000134","North West Leicestershire","Female",0,84.0702441774136,67.7849962903551
2019,"E","East Midlands","E07000135","Oadby and Wigston","Female",0,84.886196988511,68.4187914891359
2019,"E","East Midlands","E07000136","Boston","Female",0,83.0609309010269,67.0107167539465
2019,"E","East Midlands","E07000137","East Lindsey","Female",0,82.0881978643428,66.262843190925
2019,"E","East Midlands","E07000138","Lincoln","Female",0,81.2044152592044,65.5744059767019
2019,"E","East Midlands","E07000139","North Kesteven","Female",0,83.9005749795497,67.6635276079657
2019,"E","East Midlands","E07000140","South Holland","Female",0,83.8406534845119,67.6030320293964
2019,"E","East Midlands","E07000141","South Kesteven","Female",0,84.5575000851943,68.1547144927387
2019,"E","East Midlands","E07000142","West Lindsey","Female",0,84.3755763693416,68.018996413931
